Name mit Ort,Name ohne Ort,Ort,GKZ,Globale ID,MVTT X,MVTT Y,WGS84 X,WGS84 Y
59,Kapuzinerstrasse,Kapuzinerstrasse,Muenchen,9162000,de:09162:59,4467491,828008,48.12513346,11.56186609
60,Odeonsplatz,Odeonsplatz,Muenchen,9162000,de:09162:60,4468683,826037,48.14291874,11.57773241
61,Baldeplatz,Baldeplatz,Muenchen,9162000,de:09162:61,4467878,828206,48.1233725,11.56707936
62,Claude-Lorrain-Strasse,Claude-Lorrain-Strasse,Muenchen,9162000,de:09162:62,4468198,828462,48.12108634,11.57139671
63,Humboldtstrasse,Humboldtstrasse,Muenchen,9162000,de:09162:63,4468490,828641,48.11949111,11.57533191
64,Barthstrasse,Barthstrasse,Muenchen,9162000,de:09162:64,4465145,826310,48.14027941,11.53021475
65,Trappentreustrasse,Trappentreustrasse,Muenchen,9162000,de:09162:65,4465457,826342,48.14000867,11.53440947
66,Schrenkstrasse,Schrenkstrasse,Muenchen,9162000,de:09162:66,4465968,826388,48.13962256,11.54127906
67,Holzapfelstrasse,Holzapfelstrasse,Muenchen,9162000,de:09162:67,4466401,826433,48.13924091,11.54710046
68,Reichenbachplatz,Reichenbachplatz,Muenchen,9162000,de:09162:68,4468594,827108,48.13328273,11.5766156
69,Deutsches Museum,Deutsches Museum,Muenchen,9162000,de:09162:69,4469300,827271,48.13185134,11.58611215
70,Universitaet,Universitaet,Muenchen,9162000,de:09162:70,4468893,825361,48.1490084,11.58050473
71,Am Gasteig,Am Gasteig,Muenchen,9162000,de:09162:71,4469708,827163,48.13284218,11.5915856
72,Wiener Platz,Wiener Platz,Muenchen,9162000,de:09162:72,4470022,827026,48.13408913,11.59579436
73,Friedensengel/Villa Stuck,Friedensengel/Villa Stuck,Muenchen,9162000,de:09162:73,4470344,826289,48.14073218,11.60006897
74,Holbeinstrasse,Holbeinstrasse,Muenchen,9162000,de:09162:74,4470440,826016,48.14319178,11..60133989
75,Sternwartstrasse,Sternwartstrasse,Muenchen,9162000,de:09162:75,4470584,825695,48.14608526,11.60325263
76,Herkomerplatz,Herkomerplatz,Muenchen,9162000,de:09162:76,4471007,825165,48.15087107,11.60890072
77,Mauerkircherstrasse,Mauerkircherstrasse,Muenchen,9162000,de:09162:77,4470401,825389,48.14882866,11.60077219
78,Tivolistrasse,Tivolistrasse,Muenchen,9162000,de:09162:78,4470089,825250,48.15006408,11.59656955
79,Paradiesstrasse,Paradiesstrasse,Muenchen,9162000,de:09162:79,4469820,825664,48.14632821,11.59298387
80,Giselastrasse,Giselastrasse,Muenchen,9162000,de:09162:80,4469227,824458,48.15714544,11.58492784
81,Nationalmuseum/Haus d.Kunst,Nationalmuseum/Haus d.Kunst,Muenchen,9162000,de:09162:81,4469483,826023,48.14308358,11.58848105
82,Astallerstrasse,Astallerstrasse,Muenchen,9162000,de:09162:82,4465164,826841,48.13550514,11.53051353
83,Tumblingerstrasse,Tumblingerstrasse,Muenchen,9162000,de:09162:83,4466893,828214,48.12325003,11.55384955
84,Mariannenplatz,Mariannenplatz,Muenchen,9162000,de:09162:84,4469348,826898,48.1352081,11.58673011
85,Kazmairstrasse,Kazmairstrasse,Muenchen,9162000,de:09162:85,4465422,826900,48.13498863,11.53398456
86,Maxvorstadt/Sammlg. Brandhorst,Maxvorstadt/Sammlg. Brandhorst,Muenchen,9162000,de:09162:86,4468430,825430,48.14836503,11.57428777
87,Bergmannstrasse,Bergmannstrasse,Muenchen,9162000,de:09162:87,4465676,826910,48.13491247,11.53739783
88,Woerthstrasse,Woerthstrasse,Muenchen,9162000,de:09162:88,4470175,827251,48.13207287,11.59786566
89,Orleansstrasse,Orleansstrasse,Muenchen,9162000,de:09162:89,4470290,828006,48.12528843,11.59946331
90,Holzkirchner Bahnhof,Holzkirchner Bahnhof,Muenchen,9162000,de:09162:90,4467057,826444,48.13917633,11.55591535
91,Bundesfinanzhof,Bundesfinanzhof,Muenchen,9162000,de:09162:91,4470752,825456,48.14824238,11.60549376
92,Kustermannpark,Kustermannpark,Muenchen,9162000,de:09162:92,4470427,828128,48.12419765,11.60131204
93,Tal,Tal,Muenchen,9162000,de:09162:93,4468803,826805,48.13601793,11.57940119
94,Pinakotheken Sued,Pinakotheken Sued,Muenchen,9162000,de:09162:94,,,,
95,Technische Universitaet,Technische Universitaet,Muenchen,9162000,de:09162:95,4467771,825430,48.14833194,11.56543183
96,Klenzestrasse,Klenzestrasse,Muenchen,9162000,de:09162:96,4468151,827990,48.12532875,11.57073012
97,Amalienstrasse,Amalienstrasse,Muenchen,9162000,de:09162:97,4468588,825497,48.14777033,11.57641599
100,Muenchen Hbf (Gl. 5-36),Hauptbahnhof (Gl. 5-36),Muenchen,9162000,de:09162:100,4467283,826215,48.14124742,11.55893428
101,Hans-Fischer-Strasse,Hans-Fischer-Strasse,Muenchen,9162000,de:09162:101,4466215,827745,48.12743212,11.54470553
102,Gollierplatz,Gollierplatz,Muenchen,9162000,de:09162:102,4465448,826753,48.13631203,11.53432193
103,Schloerstrasse,Schloerstrasse,Muenchen,9162000,de:09162:103,4465642,825244,48.14989307,11.53680645
104,Albrechtstrasse,Albrechtstrasse,Muenchen,9162000,de:09162:104,4465916,824602,48.15568137,11.5404372
105,Fasaneriestrasse,Fasaneriestrasse,Muenchen,9162000,de:09162:105,4466143,824418,48.15734823,11.54347349
106,Infanteriestrasse,Infanteriestrasse,Muenchen,9162000,de:09162:106,4466904,823966,48.1614532,11.55366671
107,Barbarastrasse,Barbarastrasse,Muenchen,9162000,de:09162:107,4467185,823971,48.16142282,11.55744425
108,Hohenzollernstrasse,Hohenzollernstrasse,Muenchen,9162000,de:09162:108,4469259,824225,48.15924238,11.58534109
109,Friedrichstrasse,Friedrichstrasse,Muenchen,9162000,de:09162:109,4468903,824147,48.1599265,11.58055027
110,Koenigsplatz,Koenigsplatz,Muenchen,9162000,de:09162:110,4467663,825669,48.1461771,11.56399866
111,Regerplatz,Regerplatz,Muenchen,9162000,de:09162:111,4469510,828050,48.12485579,11.58898914
112,Viktualienmarkt,Viktualienmarkt,Muenchen,9162000,de:09162:112,4468470,826906,48.1350932,11.57493474
113,Blumenstrasse,Blumenstrasse,Muenchen,9162000,de:09162:113,4468400,827121,48.1331562,11.57401027
114,Gaertnerplatztheater,Gaertnerplatztheater,Muenchen,9162000,de:09162:114,4468491,827223,48.13224342,11.57524036
115,Baaderstrasse,Baaderstrasse,Muenchen,9162000,de:09162:115,4468724,827476,48.12997967,11.57838914
116,Schweigerstrasse,Schweigerstrasse,Muenchen,9162000,de:09162:116,4469064,827838,48.12674079,11.58298291
117,Taubenstrasse,Taubenstrasse,Muenchen,9162000,de:09162:117,4468755,828376,48.12188737,11.57887165
118,Kirchenstrasse,Kirchenstrasse,Muenchen,9162000,de:09162:118,4470710,827137,48.13312297,11.60504514
119,Boschbruecke,Boschbruecke,Muenchen,9162000,de:09162:119,4469023,827368,48.13096557,11.58239794
120,Theresienstrasse,Theresienstrasse,Muenchen,9162000,de:09162:120,4467686,825108,48.15122339,11.56426508
121,Reitmorstrasse/Sammlung Schack,Reitmorstrasse/Sammlung Schack,Muenchen,9162000,de:09162:121,4469869,826146,48.14199585,11.59367649
122,Ludwigsbruecke,Ludwigsbruecke,Muenchen,9162000,de:09162:122,4469240,827181,48.13265782,11.58529959
123,Koeniginstrasse,Koeniginstrasse,Muenchen,9162000,de:09162:123,4469222,825946,48.14376346,11.5849684
124,Von-der-Tann-Strasse,Von-der-Tann-Strasse,Muenchen,9162000,de:09162:124,4468766,825773,48.14529701,11.57882829
125,Tuerkenstrasse,Tuerkenstrasse,Muenchen,9162000,de:09162:125,4468555,825218,48.15027777,11.57595189
126,Arcisstrasse,Arcisstrasse,Muenchen,9162000,de:09162:126,4468164,825052,48.15175114,11.57068483
127,Luisenstrasse,Luisenstrasse,Muenchen,9162000,de:09162:127,4467973,824970,48...15247897,11...56811173
128,Augustenstrasse,Augustenstrasse,Muenchen,9162000,de:09162:128,4467810,824900,48...15310025,11...56591579
129,Roecklplatz,Roecklplatz,Muenchen,9162000,de:09162:129,4467469,828501,48...12069873,11...56160825
130,Josephsplatz,Josephsplatz,Muenchen,9162000,de:09162:130,4467837,824714,48...15477433,11...56626458
131,St.-Jakobs-Platz,St.-Jakobs-Platz,Muenchen,9162000,de:09162:131,4468294,826878,48...13533625,11...5725681
132,Hirschauer Strasse,Hirschauer Strasse,Muenchen,9162000,de:09162:132,4469995,825185,48...1506442,11...5953017
133,Galileiplatz,Galileiplatz,Muenchen,9162000,de:09162:133,4470834,825901,48...14424421,11...60662624
